ID,Status,Title,Label,Security-Label,Url,PatchUrl
72213,closed,module_from_spec() should raise an error in 3.6,"type-bug,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/72213, 
72209,closed,SSL releated deprecation for 3.6,"docs,type-security,stdlib,3.10,expert-SSL",security,https://api.github.com/repos/python/cpython/issues/72209, 
72208,closed,Calculating wrong modulus manually,type-bug, ,https://api.github.com/repos/python/cpython/issues/72208, 
72207,closed,Python 3 logging HTTPHandler doesn't implement a standard http basic authorize,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72207, 
72206,closed,itertools.count() falls back to fast (integer) mode when step rounds to 1,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72206, 
72203,closed,test_fileio fails on AIX,"type-bug,tests,3.7", ,https://api.github.com/repos/python/cpython/issues/72203, 
72201,closed,Strange interaction between methods in subclass of C OrderedDict,type-bug, ,https://api.github.com/repos/python/cpython/issues/72201, 
72198,closed,winreg KEY_READ also fails for some keys,"type-bug,OS-windows", ,https://api.github.com/repos/python/cpython/issues/72198, 
72196,closed,Fix uuid.uuid1() core logic of uuid.getnode() needs refresh,"type-bug,tests,stdlib,3.9", ,https://api.github.com/repos/python/cpython/issues/72196, 
72192,closed,Broken encoding modules are silently skipped.,"type-bug,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/72192, 
72189,closed,ast.unparse can't roundtrip some f-strings,"type-bug,stdlib,3.9", ,https://api.github.com/repos/python/cpython/issues/72189, 
72186,closed,Make "global after use" a SyntaxError,"type-bug,docs,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/72186, 
72185,closed,Bytes paths now are supported in os.scandir() on Windows,"type-bug,docs,OS-windows,3.7", ,https://api.github.com/repos/python/cpython/issues/72185, 
72183,closed,Python 3 ssl module can't use a fileno to create a SSLSocket,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72183, 
72182,closed,Upgrade Python 3.4 to OpenSSL 1.0.2h on Windows,"type-security,OS-windows,build,expert-SSL",security,https://api.github.com/repos/python/cpython/issues/72182, 
72181,closed,In the argparse help(argparse) prints weird comments instead of good docstrings,"type-bug,docs,stdlib", ,https://api.github.com/repos/python/cpython/issues/72181, 
72180,closed,In the argparse there are typos with endings in plural words,"type-bug,docs,stdlib", ,https://api.github.com/repos/python/cpython/issues/72180, 
72179,closed,Clarify %(prog)s in argparse help formatter returns basename of sys.argv[0] by default,"type-bug,docs,stdlib,3.8,3.7", ,https://api.github.com/repos/python/cpython/issues/72179, 
72178,closed,In the argparse howto there is a misleading sentence about store_true,"type-bug,docs,stdlib", ,https://api.github.com/repos/python/cpython/issues/72178, 
72176,closed,incomplete signature with help function using typing,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72176, 
72175,closed,email iter_attachments can mutate the payload,"type-bug,expert-email", ,https://api.github.com/repos/python/cpython/issues/72175, 
72174,closed,obmalloc's 8-byte alignment causes undefined behavior,"type-bug,interpreter-core,3.8,3.7", ,https://api.github.com/repos/python/cpython/issues/72174, 
72173,closed,make distclean clobbers Lib/plat-darwin/*,"type-bug,OS-mac,build", ,https://api.github.com/repos/python/cpython/issues/72173, 
72171,closed,singledispatch register should typecheck its argument,"type-bug,3.8,3.7", ,https://api.github.com/repos/python/cpython/issues/72171, 
72168,closed,Reference leak in fp_setreadl() of Parser/tokenizer.c,"type-bug,interpreter-core,3.7",memory leak,https://api.github.com/repos/python/cpython/issues/72168, 
72162,closed,math.isnan(int) and math.isinf(int) should not raise OverflowError,type-bug,assert fail,https://api.github.com/repos/python/cpython/issues/72162, 
72159,closed,Confusing error during cyclic yield,"type-bug,expert-asyncio", ,https://api.github.com/repos/python/cpython/issues/72159, 
72157,closed,ssl: can't verify a trusted site with imcomplete certificate chain,type-bug, ,https://api.github.com/repos/python/cpython/issues/72157, 
72155,closed,test_coroutines generates some warnings,type-bug, ,https://api.github.com/repos/python/cpython/issues/72155, 
72152,closed,Automatic .py extension when saving with IDLE on OSX,"type-bug,OS-mac,expert-tkinter,expert-IDLE", ,https://api.github.com/repos/python/cpython/issues/72152, 
72149,closed,null poiter dereference in set_conversion_mode due uncheck _ctypes_conversion_encoding,"type-security,expert-ctypes",security,https://api.github.com/repos/python/cpython/issues/72149, 
72145,closed,"'zlib compression' not found in set(['RLE', 'ZLIB', None])","type-bug,tests", ,https://api.github.com/repos/python/cpython/issues/72145, 
72142,closed,getrandom() syscall returning EPERM make the system unusable.,"type-bug,3.7", ,https://api.github.com/repos/python/cpython/issues/72142, 
72140,closed,math.tan has poor accuracy near pi/2 on OS X Tiger,"type-bug,OS-mac,extension-modules", ,https://api.github.com/repos/python/cpython/issues/72140, 
72139,closed,Finish converting fixcid.py from regex to re,type-bug, ,https://api.github.com/repos/python/cpython/issues/72139, 
72135,closed,"f-strings: allow backslashes only in the string parts, not in the expression parts","type-bug,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/72135, 
72134,closed,Trailing backslash in raw string format causes EOL,type-bug, ,https://api.github.com/repos/python/cpython/issues/72134, 
72126,closed,Tkinter mainloop raises when setting the value of ttk.LabeledScale,"type-bug,expert-tkinter,3.7", ,https://api.github.com/repos/python/cpython/issues/72126, 
72123,closed,Inconsistent round behavior between float and int,type-bug, ,https://api.github.com/repos/python/cpython/issues/72123, 
